Province,Station,Category,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,Population,Area,Density,Total_Crime,Crime_Rate_per_100k,Hotspot_Label,Hotspot,Date
Gauteng,Randfontein,All Theft Not Mentioned Elsewhere,1606.0,1384.0,1352.0,1424.0,1319.0,1318.0,1254.0,1262.0,1316.0,1411.0,1306.0,12272263.0,18178.0,675.1,14952.0,121.83572011127858,1,1,2022-01-01
Western Cape,Strand,All Theft Not Mentioned Elsewhere,1605.0,1931.0,2124.0,1822.0,1335.0,1304.0,1803.0,1625.0,1621.0,1587.0,1520.0,5822734.0,129462.0,45.0,18277.0,313.8903477301213,1,1,2022-02-01
Western Cape,Table View,All Theft Not Mentioned Elsewhere,1604.0,1413.0,1404.0,1498.0,1572.0,1420.0,1498.0,1539.0,1566.0,1509.0,1390.0,5822734.0,129462.0,45.0,16413.0,281.87789447362695,1,1,2022-03-01
Western Cape,Delft,All Theft Not Mentioned Elsewhere,1594.0,1735.0,2051.0,1652.0,1273.0,774.0,805.0,691.0,750.0,831.0,803.0,5822734.0,129462.0,45.0,12959.0,222.5586811968398,1,1,2022-04-01
Western Cape,Mitchells Plain,Theft Out Of Or From Motor Vehicle,1594.0,1993.0,1863.0,1719.0,1839.0,1770.0,2160.0,2045.0,1699.0,1366.0,1315.0,5822734.0,129462.0,45.0,19363.0,332.5413800458685,1,1,2022-05-01
Western Cape,Somerset West,All Theft Not Mentioned Elsewhere,1592.0,1379.0,1165.0,1053.0,1270.0,1368.0,1480.0,1456.0,1535.0,1544.0,1660.0,5822734.0,129462.0,45.0,15502.0,266.2323231664026,1,1,2022-06-01
Gauteng,Garsfontein,All Theft Not Mentioned Elsewhere,1562.0,1388.0,1153.0,1065.0,977.0,948.0,832.0,846.0,901.0,766.0,1011.0,12272263.0,18178.0,675.1,11449.0,93.29167733774936,1,1,2022-07-01
Gauteng,Wierdabrug,Burglary At Residential Premises,1560.0,1422.0,1514.0,2136.0,2338.0,2345.0,1316.0,1199.0,1140.0,1030.0,1050.0,12272263.0,18178.0,675.1,17050.0,138.93118164107142,1,1,2022-08-01
Western Cape,Kraaifontein,All Theft Not Mentioned Elsewhere,1548.0,1677.0,1385.0,1307.0,1386.0,1371.0,1603.0,1583.0,1784.0,1906.0,1987.0,5822734.0,129462.0,45.0,17537.0,301.1815411797963,1,1,2022-09-01
Western Cape,Claremont,Theft Out Of Or From Motor Vehicle,1546.0,1148.0,923.0,859.0,1147.0,882.0,824.0,848.0,866.0,1084.0,1035.0,5822734.0,129462.0,45.0,11162.0,191.69689015503712,1,1,2022-10-01
Gauteng,Garsfontein,Theft Out Of Or From Motor Vehicle,1527.0,1207.0,761.0,1021.0,885.0,793.0,664.0,629.0,622.0,629.0,741.0,12272263.0,18178.0,675.1,9479.0,77.23921822731472,1,1,2022-11-01
Western Cape,Sea Point,All Theft Not Mentioned Elsewhere,1526.0,1546.0,1402.0,1353.0,1313.0,1251.0,1153.0,1117.0,1105.0,1013.0,1067.0,5822734.0,129462.0,45.0,13846.0,237.792074994324,1,1,2022-12-01
Gauteng,Randburg,All Theft Not Mentioned Elsewhere,1526.0,1431.0,8.0,1613.0,1384.0,1266.0,1226.0,1275.0,1293.0,1269.0,1169.0,12272263.0,18178.0,675.1,13460.0,109.67822316063469,1,1,2023-01-01
Gauteng,Alberton,All Theft Not Mentioned Elsewhere,1523.0,1322.0,1289.0,1200.0,1261.0,1118.0,1055.0,1034.0,1215.0,1100.0,1103.0,12272263.0,18178.0,675.1,13220.0,107.72259362433807,1,1,2023-02-01
Kwazulu/Natal,Ladysmith,All Theft Not Mentioned Elsewhere,1522.0,1202.0,1101.0,974.0,986.0,917.0,1060.0,1003.0,1082.0,1016.0,862.0,10267300.0,94361.0,108.8,11725.0,114.19750080352186,1,1,2023-03-01
Gauteng,Sunnyside,Theft Out Of Or From Motor Vehicle,1522.0,1046.0,878.0,9.0,1238.0,1206.0,1483.0,1751.0,1624.0,1943.0,1614.0,12272263.0,18178.0,675.1,14314.0,116.63700492729009,1,1,2023-04-01
Gauteng,Vereeniging,All Theft Not Mentioned Elsewhere,1519.0,1383.0,1155.0,1261.0,1242.0,1177.0,1165.0,1215.0,1158.0,1105.0,1003.0,12272263.0,18178.0,675.1,13383.0,109.05079201773951,1,1,2023-05-01
Western Cape,Paarl,All Theft Not Mentioned Elsewhere,1517.0,1381.0,1117.0,1160.0,1353.0,1465.0,1544.0,1506.0,1440.0,1683.0,1618.0,5822734.0,129462.0,45.0,15784.0,271.07540890585074,1,1,2023-06-01
Gauteng,Jhb Central,Common Robbery,1510.0,1610.0,1507.0,1242.0,1400.0,1338.0,1010.0,1089.0,1272.0,1681.0,1322.0,12272263.0,18178.0,675.1,14981.0,122.07202534691442,1,1,2023-07-01
Gauteng,Tembisa,Common Assault,1507.0,906.0,650.0,680.0,598.0,821.0,735.0,807.0,755.0,624.0,11.0,12272263.0,18178.0,675.1,8094.0,65.95360611160305,1,1,2023-08-01
Western Cape,George,All Theft Not Mentioned Elsewhere,1494.0,8.0,1560.0,1436.0,1238.0,1426.0,1412.0,1511.0,1420.0,1195.0,1096.0,5822734.0,129462.0,45.0,13796.0,236.93337184903174,1,1,2023-09-01
Gauteng,Mondeor,All Theft Not Mentioned Elsewhere,1493.0,1243.0,1276.0,1234.0,1433.0,1706.0,1631.0,1588.0,1484.0,1485.0,1456.0,12272263.0,18178.0,675.1,16029.0,130.61160765540959,1,1,2023-10-01
Eastern Cape,Cambridge,All Theft Not Mentioned Elsewhere,1478.0,1624.0,1280.0,1345.0,1280.0,1359.0,1306.0,1174.0,1141.0,913.0,771.0,5404868.0,168966.0,38.8,13671.0,252.9386471603007,1,1,2023-11-01
Gauteng,Silverton,All Theft Not Mentioned Elsewhere,1474.0,1283.0,1357.0,1564.0,1379.0,1432.0,987.0,1154.0,1114.0,1226.0,1002.0,12272263.0,18178.0,675.1,13972.0,113.85023283806744,1,1,2023-12-01
Eastern Cape,Walmer,Burglary At Residential Premises,1467.0,1546.0,1068.0,976.0,703.0,785.0,802.0,998.0,830.0,982.0,866.0,5404868.0,168966.0,38.8,11023.0,203.94577628907868,1,1,2024-01-01
